web-scraper-order,web-scraper-start-url,title,title-href,vid
"1560013622-392","http://www.blackandwhitemovies.org/movies-list","The Haunted House (1921)","http://www.blackandwhitemovies.org/the-haunted-house-1921.html","http://www.archive.org/download/TheHauntedHouse1921/TheHauntedHouse1921_512kb.mp4"
"1560013207-355","http://www.blackandwhitemovies.org/movies-list","The Phantom Planet (1961)","http://www.blackandwhitemovies.org/the-phantom-planet-1961.html","http://www.archive.org/download/PhantomPlanet/classicscifiphantomplanet1_512kb.mp4"
"1560014492-477","http://www.blackandwhitemovies.org/movies-list","Charlie Chaplin’s Making A Living (1914)","http://www.blackandwhitemovies.org/charlie-chaplins-making-a-living-1914.html","http://www.archive.org/download/CC_1914_02_02_MakingALiving/CC_1914_02_02_MakingALiving_512kb.mp4"
"1560013468-378","http://www.blackandwhitemovies.org/movies-list","The Four Horsemen of the Apocalypse (1921)","http://www.blackandwhitemovies.org/the-four-horsemen-of-the-apocalypse-1921.html","http://www.archive.org/download/FourHorsemenOfTheApocalypse/FourHorsemenOfTheApocalypse_512kb.mp4"
"1560014422-470","http://www.blackandwhitemovies.org/movies-list","Carnival of Souls (1962)","http://www.blackandwhitemovies.org/carnival-of-souls-1962.html","http://www.archive.org/download/CarnivalOfSouls_ipod/CarnivalOfSouls_512kb.mp4"
"1560013479-379","http://www.blackandwhitemovies.org/movies-list","The Ring (1927)","http://www.blackandwhitemovies.org/the-ring-1927.html","http://www.archive.org/download/TheRing./TheRing_512kb.mp4"
"1560014529-481","http://www.blackandwhitemovies.org/movies-list","Captain Kidd (1945)","http://www.blackandwhitemovies.org/captain-kidd-1945.html","http://www.archive.org/download/CaptainKidd_/CaptainKidd_512kb.mp4"
"1560013670-397","http://www.blackandwhitemovies.org/movies-list","The Cook (1918)","http://www.blackandwhitemovies.org/the-cook-1918.html","null"
"1560013413-373","http://www.blackandwhitemovies.org/movies-list","Three Came Home (1950)","http://www.blackandwhitemovies.org/three-came-home-1950.html","http://www.archive.org/download/ThreeCameHomeClaudetteColbertHankrip/ThreeCameHomeClaudetteColbertHankrip_512kb.mp4"
"1560013953-425","http://www.blackandwhitemovies.org/movies-list","Princess Iron Fan (Tien Shan Gong Zhu) (1941)","http://www.blackandwhitemovies.org/princess-iron-fan-tien-shan-gong-zhu-1941.html","http://www.archive.org/download/Princess_Iron_Fan_1941_divx5_denoised/Princess_Iron_Fan_1941_divx5_denoised_512kb.mp4"
"1560014235-453","http://www.blackandwhitemovies.org/movies-list","Good Night Nurse! (1918)","http://www.blackandwhitemovies.org/good-night-nurse-1918.html","http://www.archive.org/download/GoodNightNurse_44/GoodNightNurse_512kb.mp4"
"1560013174-352","http://www.blackandwhitemovies.org/movies-list","The Red House (1947)","http://www.blackandwhitemovies.org/the-red-house-1947.html","http://www.archive.org/download/TheRedHouse/The_Red_House_512kb.mp4"
"1560014744-504","http://www.blackandwhitemovies.org/movies-list","Attack! The Battle for New Britain (1944)","http://www.blackandwhitemovies.org/attack-the-battle-for-new-britain-1944.html","http://www.archive.org/download/gov.dod.dimoc.20361/gov.dod.dimoc.20361_512kb.mp4"
"1560013828-413","http://www.blackandwhitemovies.org/movies-list","Sherlock Holmes and the Secret Weapon (1943)","http://www.blackandwhitemovies.org/sherlock-holmes-and-the-secret-weapon-1943.html","http://www.archive.org/download/secret_weapon/secret_weapon_ipod_512kb.mp4"
"1560013251-359","http://www.blackandwhitemovies.org/movies-list","The Kennel Murder Case (1933)","http://www.blackandwhitemovies.org/the-kennel-murder-case-1933.html","http://www.archive.org/download/The_Kennel_Murder_Case_1933/The_Kennel_Murder_Case_1933_512kb.mp4"
"1560013108-346","http://www.blackandwhitemovies.org/movies-list","West of Hot Dog (1924)","http://www.blackandwhitemovies.org/west-of-hot-dog-1924.html","http://www.archive.org/download/westofhotdog/WestOfHotDog_512kb.mp4"
"1560014768-508","http://www.blackandwhitemovies.org/movies-list","A Bucket of Blood (1959)","http://www.blackandwhitemovies.org/a-bucket-of-blood-1959.html","http://www.archive.org/download/ABucketOfBlood_409/ABucketOfBlood_512kb.mp4"
"1560014722-500","http://www.blackandwhitemovies.org/movies-list","Bird of Paradise (1932)","http://www.blackandwhitemovies.org/bird-of-paradise-1932.html","http://www.archive.org/download/Bird_of_Paradise_1932/BirdofParadise_512kb.mp4"
"1560014121-442","http://www.blackandwhitemovies.org/movies-list","My Favorite Brunette (1947)","http://www.blackandwhitemovies.org/my-favorite-brunette-1947.html","http://www.archive.org/download/my_favorite_brunette/my_favorite_brunette_512kb.mp4"
"1560014628-490","http://www.blackandwhitemovies.org/movies-list","British Intelligence (1940)","http://www.blackandwhitemovies.org/british-intelligence-1940.html","http://www.archive.org/download/british_intelligence/british_intelligence_512kb.mp4"
"1560014562-484","http://www.blackandwhitemovies.org/movies-list","Billy the Kid Trapped (1942)","http://www.blackandwhitemovies.org/billy-the-kid-trapped-1942.html","http://www.archive.org/download/Billy_the_Kid_-_Trapped/Billy_the_Kid_-_Trapped_512kb.mp4"
"1560013119-347","http://www.blackandwhitemovies.org/movies-list","Waterfront (1944)","http://www.blackandwhitemovies.org/waterfront-1944.html","http://www.archive.org/download/waterfront/waterfront_512kb.mp4"
"1560013600-390","http://www.blackandwhitemovies.org/movies-list","The Kid (1921)","http://www.blackandwhitemovies.org/the-kid-1921.html","http://www.archive.org/download/TheKid_179/TheKid_512kb.mp4"
"1560014606-488","http://www.blackandwhitemovies.org/movies-list","Bulldog Drummond in Africa (1938)","http://www.blackandwhitemovies.org/bulldog-drummond-in-africa-1938.html","http://www.archive.org/download/BulldogDrummondInAfrica1938/Bulldog_Drummond_in_Africa_38_512kb.mp4"
"1560014750-505","http://www.blackandwhitemovies.org/movies-list","Assignment Outer Space (1960)","http://www.blackandwhitemovies.org/assignment-outer-space-1960.html","http://www.archive.org/download/Assignment_Outer_Space/Assignment_Outer_Space_512kb.mp4"
"1560013218-356","http://www.blackandwhitemovies.org/movies-list","The Admiral Was A Lady (1950)","http://www.blackandwhitemovies.org/the-admiral-was-a-lady-1950.html","http://www.archive.org/download/TheAdmiralWasaLadyEdmondOBrien1950mooorip/TheAdmiralWasaLadyEdmondOBrien1950mooorip_512kb.mp4"
"1560014213-451","http://www.blackandwhitemovies.org/movies-list","Hard Luck (1921)","http://www.blackandwhitemovies.org/hard-luck-1921.html","http://www.archive.org/download/HardLuck/HardLuck_512kb.mp4"
"1560013402-372","http://www.blackandwhitemovies.org/movies-list","The Curse of the Cat People (1944)","http://www.blackandwhitemovies.org/the-curse-of-the-cat-people-1944.html","http://www.archive.org/download/PhantasmagoriaTheater-TheCurseOfTheCatPeople1944970/PhantasmagoriaTheater-TheCurseOfTheCatPeople1944970_512kb.mp4"
"1560014762-507","http://www.blackandwhitemovies.org/movies-list","A Romance of the Redwoods (1917)","http://www.blackandwhitemovies.org/a-romance-of-the-redwoods-1917.html","http://www.archive.org/download/ARomanceOfTheRedwoods/ARomanceOfTheRedwoods_512kb.mp4"
"1560014459-474","http://www.blackandwhitemovies.org/movies-list","Charlie Chaplin Festival (1938)","http://www.blackandwhitemovies.org/charlie-chaplin-festival-1938.html","http://www.archive.org/download/charlie_chaplin_film_fest/charlie_chaplin_film_fest_512kb.mp4"
"1560014738-503","http://www.blackandwhitemovies.org/movies-list","After Mein Kampf (1940)","http://www.blackandwhitemovies.org/after-mein-kampf-1940.html","null"
"1560014257-455","http://www.blackandwhitemovies.org/movies-list","Fog Island (1945)","http://www.blackandwhitemovies.org/fog-island-1945.html","http://www.archive.org/download/Fog_island_1945/Fog_Island_1945_512kb.mp4"
"1560013752-406","http://www.blackandwhitemovies.org/movies-list","The Poor Little Rich Girl (1917)","http://www.blackandwhitemovies.org/the-poor-little-rich-girl-1917.html","http://www.archive.org/download/ThePoorLittleRichGirl/PoorLittleRichGirl1917_512kb.mp4"
"1560014078-437","http://www.blackandwhitemovies.org/movies-list","M (1931)","http://www.blackandwhitemovies.org/m-1931.html","null"
"1560014100-439","http://www.blackandwhitemovies.org/movies-list","Money Madness (1948)","http://www.blackandwhitemovies.org/money-madness-1948.html","http://www.archive.org/download/MoneyMadness/MoneyMadness_512kb.mp4"
"1560014180-448","http://www.blackandwhitemovies.org/movies-list","Hell Fire Austin (1932)","http://www.blackandwhitemovies.org/hell-fire-austin-1932.html","http://www.archive.org/download/hellfire_austin/hellfire_austin_512kb.mp4"
"1560014400-468","http://www.blackandwhitemovies.org/movies-list","Dick Tracy’s Dilemma (1947)","http://www.blackandwhitemovies.org/dick-tracys-dilemma-1947.html","http://www.archive.org/download/dick_tracys_dilemma/dick_tracys_dilemma_512kb.mp4"
"1560013262-360","http://www.blackandwhitemovies.org/movies-list","Three Blondes in His Life (1961)","http://www.blackandwhitemovies.org/three-blondes-in-his-life-1961.html","http://www.archive.org/download/Three_Blondes_in_His_Life_movie/Three_Blondes_in_His_Life_512kb.mp4"
"1560013916-421","http://www.blackandwhitemovies.org/movies-list","Rain (1932)","http://www.blackandwhitemovies.org/rain-1932.html","http://www.archive.org/download/rain1932/Rain_512kb.mp4"
"1560013942-424","http://www.blackandwhitemovies.org/movies-list","Pride and Prejudice (1940)","http://www.blackandwhitemovies.org/pride-and-prejudice-1940.html","http://www.archive.org/download/PrideAndPrejudice1940/pp_512kb.mp4"
"1560013817-412","http://www.blackandwhitemovies.org/movies-list","Secret Police (1939)","http://www.blackandwhitemovies.org/secret-police-1939.html","http://www.archive.org/download/BulldogDrummondSecretPolice1939/BulldogDrummondSecretPolice1939_512kb.mp4"
"1560014030-432","http://www.blackandwhitemovies.org/movies-list","Night of the Living Dead (1968)","http://www.blackandwhitemovies.org/night-of-the-living-dead-1968.html","http://www.archive.org/download/Night.Of.The.Living.Dead_1080p/NightOfTheLivingDead_DVD5_512kb.mp4"
